Store,Date,Sales,Customers,Promo,SchoolHoliday,CompetitionDistance,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
1,01-01-2013,5530,668,0,1,1270,0,1,0,0,0,0,0
1,02-01-2013,4327,578,0,1,1270,0,0,1,0,0,0,0
1,03-01-2013,4486,619,0,1,1270,0,0,0,1,0,0,0
1,04-01-2013,4997,635,0,1,1270,0,0,0,0,1,0,0
1,05-01-2013,7176,785,1,1,1270,0,0,0,0,0,1,0
1,06-01-2013,5580,654,1,1,1270,0,0,0,0,0,0,1
1,07-01-2013,5471,626,1,1,1270,1,0,0,0,0,0,0
1,08-01-2013,4892,615,1,1,1270,0,1,0,0,0,0,0
1,09-01-2013,4881,592,1,1,1270,0,0,1,0,0,0,0
1,10-01-2013,4952,646,0,0,1270,0,0,0,1,0,0,0
1,11-01-2013,4717,616,0,0,1270,0,0,0,0,1,0,0
1,12-01-2013,3900,512,0,0,1270,0,0,0,0,0,1,0
1,13-01-2013,4008,530,0,0,1270,0,0,0,0,0,0,1
1,14-01-2013,4044,503,0,0,1270,1,0,0,0,0,0,0
1,15-01-2013,4127,568,0,0,1270,0,1,0,0,0,0,0
1,16-01-2013,5182,688,0,0,1270,0,0,1,0,0,0,0
1,17-01-2013,5394,607,1,0,1270,0,0,0,1,0,0,0
1,18-01-2013,5720,667,1,0,1270,0,0,0,0,1,0,0
1,19-01-2013,5578,627,1,0,1270,0,0,0,0,0,1,0
1,20-01-2013,5195,645,1,0,1270,0,0,0,0,0,0,1
1,21-01-2013,5586,676,1,0,1270,1,0,0,0,0,0,0
1,22-01-2013,5598,640,0,0,1270,0,1,0,0,0,0,0
1,23-01-2013,4055,549,0,0,1270,0,0,1,0,0,0,0
1,24-01-2013,3725,522,0,0,1270,0,0,0,1,0,0,0
1,25-01-2013,4601,560,0,0,1270,0,0,0,0,1,0,0
1,26-01-2013,4709,571,0,0,1270,0,0,0,0,0,1,0
1,27-01-2013,5633,658,0,0,1270,0,0,0,0,0,0,1
1,28-01-2013,5970,701,0,0,1270,1,0,0,0,0,0,0
1,29-01-2013,7032,762,1,0,1270,0,1,0,0,0,0,0
1,30-01-2013,6049,678,1,0,1270,0,0,1,0,0,0,0
1,31-01-2013,6140,693,1,0,1270,0,0,0,1,0,0,0
1,01-02-2013,5499,675,1,0,1270,0,0,0,0,1,0,0
1,02-02-2013,5681,630,1,0,1270,0,0,0,0,0,1,0
1,03-02-2013,5370,656,0,0,1270,0,0,0,0,0,0,1
1,04-02-2013,4409,599,0,0,1270,1,0,0,0,0,0,0
1,05-02-2013,4015,572,0,0,1270,0,1,0,0,0,0,0
1,06-02-2013,4252,604,0,0,1270,0,0,1,0,0,0,0
1,07-02-2013,4241,573,0,0,1270,0,0,0,1,0,0,0
1,08-02-2013,4809,607,0,0,1270,0,0,0,0,1,0,0
1,09-02-2013,6154,682,0,0,1270,0,0,0,0,0,1,0
1,10-02-2013,6407,710,1,0,1270,0,0,0,0,0,0,1
1,11-02-2013,5386,608,1,0,1270,1,0,0,0,0,0,0
1,12-02-2013,5660,684,1,0,1270,0,1,0,0,0,0,0
1,13-02-2013,5261,629,1,0,1270,0,0,1,0,0,0,0
1,14-02-2013,5000,599,1,0,1270,0,0,0,1,0,0,0
1,15-02-2013,5237,650,0,0,1270,0,0,0,0,1,0,0
1,16-02-2013,4038,534,0,0,1270,0,0,0,0,0,1,0
1,17-02-2013,3794,525,0,0,1270,0,0,0,0,0,0,1
1,18-02-2013,4558,579,0,0,1270,1,0,0,0,0,0,0
1,19-02-2013,4676,581,0,0,1270,0,1,0,0,0,0,0
1,20-02-2013,4611,584,0,0,1270,0,0,1,0,0,0,0
1,21-02-2013,5350,678,0,0,1270,0,0,0,1,0,0,0
1,22-02-2013,7675,840,1,0,1270,0,0,0,0,1,0,0
1,23-02-2013,6300,715,1,0,1270,0,0,0,0,0,1,0
1,24-02-2013,5973,678,1,0,1270,0,0,0,0,0,0,1
1,25-02-2013,5637,702,1,0,1270,1,0,0,0,0,0,0
1,26-02-2013,5853,694,1,0,1270,0,1,0,0,0,0,0
1,27-02-2013,5578,734,0,0,1270,0,0,1,0,0,0,0
1,28-02-2013,4949,618,0,0,1270,0,0,0,1,0,0,0
1,01-03-2013,3853,491,0,0,1270,0,0,0,0,1,0,0
1,02-03-2013,4341,622,0,0,1270,0,0,0,0,0,1,0
1,03-03-2013,5108,660,0,0,1270,0,0,0,0,0,0,1
1,04-03-2013,4925,677,0,0,1270,1,0,0,0,0,0,0
1,05-03-2013,5003,680,0,0,1270,0,1,0,0,0,0,0
1,06-03-2013,7072,778,1,0,1270,0,0,1,0,0,0,0
1,07-03-2013,6563,719,1,0,1270,0,0,0,1,0,0,0
1,08-03-2013,5598,688,1,0,1270,0,0,0,0,1,0,0
1,09-03-2013,5179,662,1,0,1270,0,0,0,0,0,1,0
1,10-03-2013,5506,694,1,0,1270,0,0,0,0,0,0,1
1,11-03-2013,5603,682,0,0,1270,1,0,0,0,0,0,0
1,12-03-2013,6729,777,1,1,1270,0,1,0,0,0,0,0
1,13-03-2013,6686,747,1,1,1270,0,0,1,0,0,0,0
1,14-03-2013,6660,779,1,1,1270,0,0,0,1,0,0,0
1,15-03-2013,7285,902,1,1,1270,0,0,0,0,1,0,0
1,16-03-2013,7132,773,0,0,1270,0,0,0,0,0,1,0
1,17-03-2013,5484,629,0,1,1270,0,0,0,0,0,0,1
1,18-03-2013,4625,594,0,1,1270,1,0,0,0,0,0,0
1,19-03-2013,4293,566,0,1,1270,0,1,0,0,0,0,0
1,20-03-2013,4390,571,0,1,1270,0,0,1,0,0,0,0
1,21-03-2013,5075,657,0,0,1270,0,0,0,1,0,0,0
1,22-03-2013,6046,695,1,0,1270,0,0,0,0,1,0,0
1,23-03-2013,5514,594,1,0,1270,0,0,0,0,0,1,0
1,24-03-2013,4903,575,1,0,1270,0,0,0,0,0,0,1
1,25-03-2013,4366,541,1,0,1270,1,0,0,0,0,0,0
1,26-03-2013,5263,614,1,0,1270,0,1,0,0,0,0,0
1,27-03-2013,4773,608,0,0,1270,0,0,1,0,0,0,0
1,28-03-2013,3941,526,0,0,1270,0,0,0,1,0,0,0
1,29-03-2013,3357,453,0,0,1270,0,0,0,0,1,0,0
1,30-03-2013,3649,500,0,0,1270,0,0,0,0,0,1,0
1,31-03-2013,2952,432,0,0,1270,0,0,0,0,0,0,1
1,01-04-2013,4303,526,0,0,1270,1,0,0,0,0,0,0
1,02-04-2013,4350,546,0,0,1270,0,1,0,0,0,0,0
1,03-04-2013,5672,623,1,0,1270,0,0,1,0,0,0,0
1,04-04-2013,4492,560,1,0,1270,0,0,0,1,0,0,0
1,05-04-2013,4309,512,1,0,1270,0,0,0,0,1,0,0
1,06-04-2013,3939,532,1,0,1270,0,0,0,0,0,1,0
1,07-04-2013,4841,572,1,0,1270,0,0,0,0,0,0,1
1,08-04-2013,5726,650,0,0,1270,1,0,0,0,0,0,0
1,09-04-2013,5821,641,1,0,1270,0,1,0,0,0,0,0
1,10-04-2013,5925,665,1,0,1270,0,0,1,0,0,0,0
1,11-04-2013,6486,677,1,0,1270,0,0,0,1,0,0,0
1,12-04-2013,6027,658,1,0,1270,0,0,0,0,1,0,0
1,13-04-2013,5912,813,0,0,1270,0,0,0,0,0,1,0
1,14-04-2013,4568,562,0,0,1270,0,0,0,0,0,0,1
1,15-04-2013,4624,540,0,0,1270,1,0,0,0,0,0,0
1,16-04-2013,5230,631,0,0,1270,0,1,0,0,0,0,0
1,17-04-2013,5409,644,0,0,1270,0,0,1,0,0,0,0
1,18-04-2013,5064,640,0,0,1270,0,0,0,1,0,0,0
1,19-04-2013,6106,660,1,0,1270,0,0,0,0,1,0,0
1,20-04-2013,5083,574,1,0,1270,0,0,0,0,0,1,0
1,21-04-2013,4790,576,1,0,1270,0,0,0,0,0,0,1
1,22-04-2013,4448,544,1,0,1270,1,0,0,0,0,0,0
1,23-04-2013,4856,597,1,0,1270,0,1,0,0,0,0,0
1,24-04-2013,4413,535,0,0,1270,0,0,1,0,0,0,0
1,25-04-2013,4789,602,0,0,1270,0,0,0,1,0,0,0
1,26-04-2013,3559,507,0,0,1270,0,0,0,0,1,0,0
1,27-04-2013,4030,536,0,0,1270,0,0,0,0,0,1,0
1,28-04-2013,4232,534,0,0,1270,0,0,0,0,0,0,1
1,29-04-2013,4408,538,0,0,1270,1,0,0,0,0,0,0
1,30-04-2013,5519,606,1,0,1270,0,1,0,0,0,0,0
1,01-05-2013,4995,555,1,0,1270,0,0,1,0,0,0,0
1,02-05-2013,5784,641,1,0,1270,0,0,0,1,0,0,0
1,03-05-2013,7893,795,1,0,1270,0,0,0,0,1,0,0
1,04-05-2013,5693,662,0,0,1270,0,0,0,0,0,1,0
1,05-05-2013,5422,619,1,0,1270,0,0,0,0,0,0,1
1,06-05-2013,5220,558,1,0,1270,1,0,0,0,0,0,0
1,07-05-2013,5012,575,1,0,1270,0,1,0,0,0,0,0
1,08-05-2013,4881,555,1,0,1270,0,0,1,0,0,0,0
1,09-05-2013,4315,541,1,0,1270,0,0,0,1,0,0,0
1,10-05-2013,4262,511,0,0,1270,0,0,0,0,1,0,0
1,11-05-2013,4291,531,0,0,1270,0,0,0,0,0,1,0
1,12-05-2013,3784,500,0,0,1270,0,0,0,0,0,0,1
1,13-05-2013,3563,476,0,0,1270,1,0,0,0,0,0,0
1,14-05-2013,3661,461,0,0,1270,0,1,0,0,0,0,0
1,15-05-2013,4150,529,0,0,1270,0,0,1,0,0,0,0
1,16-05-2013,4766,567,0,0,1270,0,0,0,1,0,0,0
1,17-05-2013,5337,585,1,0,1270,0,0,0,0,1,0,0
1,18-05-2013,4633,554,1,0,1270,0,0,0,0,0,1,0
1,19-05-2013,4180,517,1,0,1270,0,0,0,0,0,0,1
1,20-05-2013,5011,539,1,0,1270,1,0,0,0,0,0,0
1,21-05-2013,5173,542,1,0,1270,0,1,0,0,0,0,0
1,22-05-2013,4341,512,0,0,1270,0,0,1,0,0,0,0
1,23-05-2013,3549,494,0,0,1270,0,0,0,1,0,0,0
1,24-05-2013,4536,528,0,0,1270,0,0,0,0,1,0,0
1,25-05-2013,3827,508,0,0,1270,0,0,0,0,0,1,0
1,26-05-2013,3593,464,0,0,1270,0,0,0,0,0,0,1
1,27-05-2013,4407,568,0,0,1270,1,0,0,0,0,0,0
1,28-05-2013,5804,671,0,0,1270,0,1,0,0,0,0,0
1,29-05-2013,5614,614,1,0,1270,0,0,1,0,0,0,0
1,30-05-2013,5868,614,1,0,1270,0,0,0,1,0,0,0
1,31-05-2013,5875,634,1,0,1270,0,0,0,0,1,0,0
1,01-06-2013,5701,634,1,0,1270,0,0,0,0,0,1,0
1,02-06-2013,4986,603,1,0,1270,0,0,0,0,0,0,1
1,03-06-2013,4090,498,0,1,1270,1,0,0,0,0,0,0
1,04-06-2013,4475,523,0,1,1270,0,1,0,0,0,0,0
1,05-06-2013,4047,503,0,1,1270,0,0,1,0,0,0,0
1,06-06-2013,3963,496,0,1,1270,0,0,0,1,0,0,0
1,07-06-2013,4053,486,0,1,1270,0,0,0,0,1,0,0
1,08-06-2013,4134,514,0,1,1270,0,0,0,0,0,1,0
1,09-06-2013,4015,490,0,1,1270,0,0,0,0,0,0,1
1,10-06-2013,6377,657,1,1,1270,1,0,0,0,0,0,0
1,11-06-2013,5643,582,1,1,1270,0,1,0,0,0,0,0
1,12-06-2013,4946,544,1,1,1270,0,0,1,0,0,0,0
1,13-06-2013,4904,533,1,1,1270,0,0,0,1,0,0,0
1,14-06-2013,4275,495,1,1,1270,0,0,0,0,1,0,0
1,15-06-2013,4421,544,0,1,1270,0,0,0,0,0,1,0
1,16-06-2013,4149,493,0,1,1270,0,0,0,0,0,0,1
1,17-06-2013,3937,497,0,1,1270,1,0,0,0,0,0,0
1,18-06-2013,3849,453,0,1,1270,0,1,0,0,0,0,0
1,19-06-2013,3502,451,0,1,1270,0,0,1,0,0,0,0
1,20-06-2013,4221,516,0,1,1270,0,0,0,1,0,0,0
1,21-06-2013,3352,456,0,1,1270,0,0,0,0,1,0,0
1,22-06-2013,6290,630,1,1,1270,0,0,0,0,0,1,0
1,23-06-2013,5773,630,1,1,1270,0,0,0,0,0,0,1
1,24-06-2013,5572,624,1,1,1270,1,0,0,0,0,0,0
1,25-06-2013,4994,555,1,1,1270,0,1,0,0,0,0,0
1,26-06-2013,4494,562,1,1,1270,0,0,1,0,0,0,0
1,27-06-2013,4461,553,0,1,1270,0,0,0,1,0,0,0
1,28-06-2013,4086,522,0,1,1270,0,0,0,0,1,0,0
1,29-06-2013,3582,477,0,1,1270,0,0,0,0,0,1,0
1,30-06-2013,4143,512,0,1,1270,0,0,0,0,0,0,1
1,01-07-2013,3680,466,0,1,1270,1,0,0,0,0,0,0
1,02-07-2013,3257,418,0,1,1270,0,1,0,0,0,0,0
1,03-07-2013,3768,457,0,1,1270,0,0,1,0,0,0,0
1,04-07-2013,5326,600,1,1,1270,0,0,0,1,0,0,0
1,05-07-2013,5299,573,1,1,1270,0,0,0,0,1,0,0
1,06-07-2013,4724,574,1,1,1270,0,0,0,0,0,1,0
1,07-07-2013,4575,538,1,1,1270,0,0,0,0,0,0,1
1,08-07-2013,4552,527,1,1,1270,1,0,0,0,0,0,0
1,09-07-2013,4078,503,0,0,1270,0,1,0,0,0,0,0
1,10-07-2013,3954,513,0,0,1270,0,0,1,0,0,0,0
1,11-07-2013,3492,475,0,0,1270,0,0,0,1,0,0,0
1,12-07-2013,3096,441,0,0,1270,0,0,0,0,1,0,0
1,13-07-2013,3703,498,0,0,1270,0,0,0,0,0,1,0
1,14-07-2013,3493,445,0,0,1270,0,0,0,0,0,0,1
